,loan_amnt,int_rate,installment,emp_length,annual_inc,loan_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,term_ 36 months,term_ 60 months,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation
4135,12950.0,22.5,497.93,1,47000.0,1,17.42,0.0,0.0,9.0,0.0,6362.0,25.7,12.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4162,5000.0,8.19,157.13,0,96000.0,1,14.06,0.0,1.0,9.0,0.0,9497.0,42.8,28.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4171,32000.0,17.97,812.07,5,211000.0,1,6.88,0.0,0.0,17.0,0.0,24290.0,32.5,35.0,0.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4179,1500.0,11.02,49.13,2,28000.0,1,19.07,0.0,2.0,17.0,0.0,1248.0,7.2,29.0,0.0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4203,1200.0,12.4,40.09,2,42482.0,1,21.89,0.0,0.0,8.0,0.0,1448.0,10.1,14.0,0.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4212,22000.0,8.19,691.33,10,100000.0,1,19.69,1.0,1.0,14.0,0.0,11014.0,32.1,26.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4226,1400.0,7.02,43.25,0,47256.0,1,5.21,2.0,0.0,7.0,0.0,1332.0,8.6,27.0,0.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4238,6000.0,11.02,196.49,10,170000.0,1,5.7,0.0,2.0,13.0,1.0,11613.0,12.2,34.0,1.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4276,15000.0,6.46,459.47,10,35000.0,1,10.94,0.0,0.0,14.0,0.0,6444.0,11.0,24.0,0.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4338,4000.0,28.8,167.19,9,57500.0,1,12.0,0.0,2.0,10.0,1.0,3025.0,14.8,33.0,1.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4441,33000.0,11.02,717.83,2,78769.0,1,32.39,0.0,0.0,20.0,0.0,22829.0,45.0,32.0,0.0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4489,14000.0,28.8,442.69,3,146000.0,1,37.81,0.0,0.0,22.0,0.0,241296.0,75.3,38.0,0.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4607,20000.0,17.19,499.1,0,46000.0,1,30.5,0.0,0.0,8.0,1.0,19478.0,54.3,9.0,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4645,40000.0,14.74,946.15,5,135000.0,1,12.26,0.0,1.0,12.0,0.0,80924.0,76.8,27.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
